HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000019102	0	0	1	2	1	1	2	3	0	0	0	0
ENSG00000019144	219	292	265	393	337	228	335	188	288	352	575	659
ENSG00000019169	0	0	0	1	5	0	0	0	0	0	0	0
ENSG00000019186	1748	1627	3320	2437	3036	4197	8	3	11	13	8	7
ENSG00000019485	53	55	61	73	57	26	1	0	2	1	1	1
ENSG00000019505	39	30	28	16	29	12	0	0	1	0	0	0
ENSG00000019549	2	0	5	7	17	5	0	0	0	0	0	0
ENSG00000019582	0	0	0	1	2	0	251	161	305	433	871	271
ENSG00000019991	0	0	0	0	0	0	17	29	6	6	8	14
ENSG00000019995	1300	1248	1313	1223	1499	1240	492	580	465	564	440	398
ENSG00000020129	118	164	183	187	180	96	173	90	88	150	237	323
ENSG00000020181	31	20	39	77	78	48	101	73	63	75	77	122
ENSG00000020219	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000020256	88	77	121	117	183	131	181	153	133	182	222	248
ENSG00000020426	358	375	417	386	382	345	301	379	290	330	300	329
ENSG00000020577	324	406	315	541	762	596	823	710	762	833	849	761
ENSG00000020633	169	133	151	110	109	88	75	70	63	59	72	72
ENSG00000020922	318	295	358	278	328	342	477	554	474	520	540	483
ENSG00000021300	52	56	45	27	14	15	505	632	590	585	779	513
ENSG00000021355	152	167	305	744	799	1120	320	431	912	965	723	393
ENSG00000021461	0	0	1	0	2	0	0	0	1	0	0	1
ENSG00000021488	0	0	0	1	4	0	0	0	0	0	1	1
ENSG00000021574	567	524	665	503	609	567	558	717	687	694	653	530
ENSG00000021645	0	0	0	0	0	0	603	547	366	285	460	492
ENSG00000021762	66	61	78	254	255	91	22	7	15	41	75	43
ENSG00000021776	1417	1413	1399	1085	1255	1175	1793	2066	1358	1419	1431	1750
ENSG00000021826	613	586	775	569	382	590	102	143	53	52	25	111
ENSG00000021852	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000022267	87	59	85	110	124	125	6	4	49	54	43	3
ENSG00000022277	538	639	712	591	593	515	1025	962	915	1143	1135	1412
ENSG00000022355	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000022556	1206	1305	1350	1123	901	984	0	0	3	10	8	0
ENSG00000022567	146	192	189	187	153	117	126	132	106	104	234	243
ENSG00000022840	944	969	1270	1417	1693	1390	1129	1199	1798	1990	1670	1092
ENSG00000022976	112	157	190	324	284	255	95	44	44	47	75	95
ENSG00000023041	1849	1733	2001	1043	1136	1407	540	607	773	798	673	469
ENSG00000023171	46	58	66	65	71	38	769	663	948	1200	1329	771
ENSG00000023191	193	259	324	450	308	263	153	55	91	164	385	453
ENSG00000023228	2077	2113	2394	2160	2165	2224	2454	3178	2646	2880	2371	2441
ENSG00000023287	1132	1151	1219	1419	1738	1635	3218	3977	4257	4915	3902	3204
ENSG00000023318	519	569	581	511	525	601	1176	1349	1042	1082	1068	1048
ENSG00000023330	1004	1259	1302	1883	1917	1414	1641	1391	2107	2796	2407	1669
ENSG00000023445	80	56	131	1331	2021	1297	4955	5172	11359	14227	13541	4587
ENSG00000023516	1441	1144	1210	914	1055	957	967	1159	946	899	926	868
ENSG00000023572	272	278	236	174	184	160	244	309	157	178	169	238
ENSG00000023608	210	295	249	206	195	190	569	725	569	738	611	605
ENSG00000023697	332	369	582	549	447	603	550	597	505	538	502	484
ENSG00000023734	2766	2483	3000	1767	1718	2107	2836	3649	2141	2435	2011	2873
ENSG00000023839	853	747	1000	914	1498	694	1034	1196	288	275	401	1101
ENSG00000023892	113	158	176	259	223	199	80	49	55	66	89	132
ENSG00000023902	53	44	56	62	54	57	196	167	104	140	173	328
ENSG00000023909	1516	2173	1546	1158	1409	908	1090	1356	1068	1260	1238	995
ENSG00000024048	1095	1059	1314	1136	1263	1338	878	1068	1214	1236	1088	861
ENSG00000024422	116	150	129	154	134	133	144	83	84	141	168	258
ENSG00000024526	1943	2474	2649	2497	905	2404	2263	2890	1212	1733	1444	2280
ENSG00000024862	49	63	121	82	67	121	79	99	151	168	126	84
ENSG00000025039	347	291	352	603	694	535	396	485	823	920	910	356
ENSG00000025156	567	490	562	485	407	514	409	487	474	493	438	380
ENSG00000025293	613	573	743	851	1056	816	1049	1167	1094	1160	1055	1084
ENSG00000025423	12	14	20	11	12	9	35	24	50	37	39	27
ENSG00000025434	73	115	132	194	194	101	34	9	34	37	45	38
ENSG00000025708	57	70	60	131	177	118	5	2	9	17	25	9
ENSG00000025770	330	627	667	815	562	449	484	172	228	470	926	1095
ENSG00000025772	821	929	1401	1118	1151	1107	1798	1393	1268	1694	1593	1789
ENSG00000025796	277	201	282	187	217	206	586	556	386	366	370	420
ENSG00000025800	3162	2991	2970	2988	3337	3277	2854	3270	2908	3051	2824	2680
ENSG00000026025	13	13	24	31	10	27	62806	60669	35037	41832	38837	60044
ENSG00000026036	12	13	19	20	12	8	6	1	0	4	9	20
ENSG00000026103	333	322	355	709	638	545	751	800	488	490	487	633
ENSG00000026297	28	18	24	49	44	35	8	7	12	6	10	8
ENSG00000026508	11730	8094	6082	5855	7426	5840	11335	11315	7291	7996	8897	8761
ENSG00000026559	29	27	18	65	93	46	44	26	32	39	60	58
ENSG00000026652	51	73	95	413	467	314	129	113	137	203	195	138
ENSG00000026751	2	2	5	18	14	15	0	0	1	0	0	0
ENSG00000026950	43	39	45	195	326	226	134	184	293	300	291	163
ENSG00000027001	401	401	500	268	197	269	159	203	142	156	187	176
ENSG00000027075	243	209	258	275	316	355	188	216	311	287	267	209
ENSG00000027644	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000027697	447	373	450	489	708	600	441	627	595	750	540	445
ENSG00000027847	59	103	127	220	164	107	223	84	146	287	478	448
ENSG00000027869	4	0	3	10	4	6	0	1	1	1	1	0
ENSG00000028116	807	885	927	774	935	940	418	515	501	503	510	379
ENSG00000028137	0	0	0	2	5	0	42	21	182	386	363	55
ENSG00000028203	1013	969	1112	1532	1464	1648	966	1101	1281	1361	1171	841
ENSG00000028277	1	2	2	1	13	2	11	14	10	27	11	14
ENSG00000028310	482	528	553	684	605	550	1345	977	799	1031	1411	1768
ENSG00000028528	824	701	973	745	848	732	711	873	717	800	769	799
ENSG00000028839	274	322	290	242	212	189	290	416	224	273	239	291
ENSG00000029153	903	747	756	1234	961	1032	2184	2140	2083	2315	2116	1855
ENSG00000029363	7591	7996	6544	4343	4145	4258	4493	5026	2258	2422	2698	4322
ENSG00000029364	2445	2604	2549	2050	2041	2006	2735	3186	1965	2290	1914	2761
ENSG00000029534	5	6	11	14	23	6	3	1	10	13	4	4
ENSG00000029559	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000029639	306	327	375	350	426	360	268	310	232	265	226	252
ENSG00000029725	1882	2140	2395	1602	1569	1699	1202	1484	1263	1271	1327	1226
ENSG00000029993	1189	1273	1451	1285	905	1139	371	456	308	428	337	403
ENSG00000030066	2499	2006	2753	1809	1879	1956	1885	2035	995	980	986	1623
ENSG00000030110	150	215	189	203	168	133	155	114	117	161	206	263
ENSG00000030304	0	0	0	36	26	11	6	7	4	12	12	8
ENSG00000030419	20	22	27	9	9	4	56	94	71	71	59	54
ENSG00000030582	132	243	401	834	624	482	321	113	268	519	1266	942
ENSG00000031003	493	458	433	323	396	331	725	774	461	422	478	633
ENSG00000031081	21	20	28	108	136	67	237	188	338	379	380	222
ENSG00000031544	0	0	0	2	3	6	0	0	0	0	0	0
ENSG00000031691	400	385	425	369	299	376	485	629	421	405	485	474
ENSG00000031698	1635	1915	2753	2483	2977	2450	1956	1652	2042	2730	2340	1902
ENSG00000031823	363	454	480	431	425	314	259	175	147	215	312	405
ENSG00000032219	124	111	148	179	196	235	110	146	182	183	138	108
ENSG00000032389	283	373	482	377	320	321	219	126	183	263	308	336
ENSG00000032444	116	141	198	316	276	197	126	63	99	215	329	332
ENSG00000032742	209	218	298	168	182	238	125	211	174	187	206	147
ENSG00000033011	378	427	414	275	278	168	668	484	269	374	368	677
ENSG00000033030	632	705	679	669	732	585	374	398	408	440	443	346
ENSG00000033050	3045	3752	3785	2509	2906	1862	3123	2581	2305	3142	2913	3476
ENSG00000033100	185	225	225	411	478	225	447	306	353	562	923	1058
ENSG00000033122	0	0	0	1	0	0	10	10	14	5	9	7
ENSG00000033170	516	450	587	560	698	900	1593	1857	2066	2661	2057	1423
ENSG00000033178	2759	2768	2938	3175	3336	3472	1764	2214	1616	1797	1593	1810
ENSG00000033327	61	54	66	123	165	173	310	263	208	329	300	351
ENSG00000033627	459	356	461	514	606	574	576	569	696	734	671	610
ENSG00000033800	510	477	602	486	613	508	428	445	451	477	376	353
ENSG00000033867	2053	2004	1847	4567	4337	5836	2598	3122	3507	4323	3353	2371
ENSG00000034053	0	2	3	3	2	0	154	93	115	177	279	252
ENSG00000034063	570	553	679	384	345	291	415	365	161	158	313	639
ENSG00000034152	410	559	607	643	463	337	213	76	94	189	285	298
ENSG00000034239	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000034510	5850	8022	10346	10685	10134	7703	3828	3074	2647	4641	4411	5860
ENSG00000034533	95	119	82	108	112	96	146	156	138	135	104	143
ENSG00000034677	440	515	554	464	565	441	1326	1503	1481	1402	1843	1276
ENSG00000034693	314	389	349	254	245	204	183	249	214	215	237	199
ENSG00000034713	259	215	301	283	266	355	269	340	402	391	394	293
ENSG00000034971	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000035115	238	168	246	168	224	210	73	98	77	83	62	71
ENSG00000035141	1654	1541	1551	1071	1154	992	1040	1165	817	890	1039	1119
ENSG00000035403	3043	3293	4031	6400	5553	5652	2856	2536	3024	3557	3137	3211
ENSG00000035499	910	1000	1077	711	318	850	844	1017	352	452	394	881
ENSG00000035664	17	26	27	53	57	44	17	18	19	36	44	29
ENSG00000035681	1104	1118	1236	744	632	796	2025	2280	1334	1375	1576	1983
ENSG00000035687	840	797	826	566	527	656	724	887	431	487	508	684
ENSG00000035720	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000035862	428	436	699	1547	1550	1293	6184	6252	4797	5411	6173	7191
ENSG00000035928	2979	3031	3116	2866	2747	2346	2409	2679	1992	2168	2226	2206
ENSG00000036054	563	575	686	669	667	711	1785	2352	1811	2141	1781	1764
ENSG00000036257	2250	2153	2406	1767	1685	1890	1909	2428	1656	1632	1537	1823
ENSG00000036448	10	6	14	4	5	6	0	0	0	3	4	0
ENSG00000036473	2	2	0	0	0	0	0	0	0	0	0	0
ENSG00000036530	9	5	3	9	7	6	0	1	0	0	0	0
ENSG00000036549	1885	2202	2093	2046	2219	1952	1842	2229	1486	1567	1486	1758
ENSG00000036565	0	1	0	0	0	0	1391	1367	1621	1504	2016	1345
ENSG00000036672	25	19	30	61	44	43	20	12	12	21	27	13
ENSG00000036828	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000037042	98	88	100	234	299	195	117	74	109	155	195	169
ENSG00000037241	125	139	139	99	96	77	198	175	117	194	149	239
ENSG00000037280	0	2	0	1	1	0	1	0	0	0	0	0
ENSG00000037474	2408	2295	2600	1538	1449	1619	6454	6621	2580	3228	3106	6695
ENSG00000037637	527	520	522	515	593	425	335	347	327	378	375	343
ENSG00000037749	972	934	846	782	799	657	1332	1502	878	839	936	1252
ENSG00000037757	85	131	101	183	156	118	102	75	103	99	141	140
ENSG00000037897	173	171	173	158	184	146	207	166	90	114	140	188
ENSG00000037965	11	4	5	2	7	12	4	1	2	0	7	5
ENSG00000038002	44	40	64	44	47	49	318	356	222	270	286	284
ENSG00000038210	748	647	845	883	616	858	862	1111	813	982	791	839
ENSG00000038219	848	766	812	673	1033	756	1398	1365	1081	1282	1114	1435
ENSG00000038274	1011	917	1218	725	728	880	520	683	487	524	572	532
ENSG00000038295	7	15	24	17	28	20	44	50	19	9	13	38
ENSG00000038358	588	754	913	1184	903	707	459	266	252	474	632	751
ENSG00000038382	1619	1980	1775	2410	2755	2145	5771	4696	5144	6613	6845	6818
ENSG00000038427	2458	2102	5296	3083	3259	5662	44	63	9	2	1	48
ENSG00000038532	271	251	313	295	311	211	292	264	271	332	396	375
ENSG00000038945	0	1	3	1	2	4	7	1	5	4	1	0
ENSG00000039068	803	617	605	1363	1659	1434	0	1	4	3	3	1
ENSG00000039123	2976	3206	3380	2692	2700	2842	3163	3881	2808	2872	2634	2991
ENSG00000039139	2	16	16	23	16	36	98	108	112	114	133	102
ENSG00000039319	875	851	969	1049	927	1089	1292	1641	1210	1289	1254	1224
ENSG00000039523	110	97	128	155	137	92	94	36	58	77	105	141
ENSG00000039537	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000039560	1645	1637	1778	1479	1652	1505	6395	7012	5820	5548	5372	6093
ENSG00000039600	4	3	2	4	10	4	0	0	1	3	1	0
ENSG00000039650	194	262	201	397	431	196	188	84	109	172	252	325
ENSG00000039987	0	0	1	0	1	0	0	0	0	1	0	0
ENSG00000040199	627	628	645	448	461	434	381	424	288	331	338	395
ENSG00000040275	688	748	763	523	343	592	2631	2959	1119	1287	1231	2643
ENSG00000040341	458	411	565	703	724	673	1293	1700	1790	1778	1480	1238
ENSG00000040487	50	52	48	91	108	72	164	101	110	214	304	248
ENSG00000040531	97	115	151	118	175	90	146	100	128	150	220	163
ENSG00000040608	2	6	4	14	6	6	0	0	0	1	1	1
ENSG00000040633	672	801	799	653	737	484	454	428	366	410	414	539
ENSG00000040731	0	0	0	0	0	0	0	0	2	2	1	0
ENSG00000040933	350	407	438	558	590	452	317	289	334	378	460	383
ENSG00000041353	54	41	68	192	262	134	172	204	234	232	250	176
ENSG00000041357	3460	3794	3985	2607	2364	2900	3704	5049	3248	3554	3096	3795
ENSG00000041515	3	1	0	5	3	7	4	2	10	20	14	0
ENSG00000041802	2197	2416	2322	1492	1792	1309	3651	3742	2442	2566	2775	3494
ENSG00000041880	89	112	153	275	287	199	64	40	97	162	178	136
ENSG00000041982	0	1	1	3	1	0	12915	10521	6959	8037	9899	14150
ENSG00000041988	50	111	124	148	129	99	59	24	35	76	116	128
ENSG00000042062	0	0	0	1	2	0	0	0	3	0	1	0
ENSG00000042088	536	631	600	721	510	700	472	504	419	437	391	447
ENSG00000042286	203	267	275	389	333	249	87	46	102	168	230	104
ENSG00000042304	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000042317	69	60	67	143	120	124	106	115	120	106	97	85
ENSG00000042429	1186	1239	1231	1051	1149	1076	552	673	434	414	512	482
ENSG00000042445	515	541	675	1077	1037	747	484	397	664	715	793	522
ENSG00000042493	113	163	315	469	389	397	13	6	8	18	9	24
ENSG00000042753	525	683	656	708	582	494	1287	1205	880	1107	1118	1383
ENSG00000042781	0	0	0	0	0	1	1	5	1	1	0	1
ENSG00000042813	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000042832	3	0	1	9	16	3	0	0	1	1	1	0
ENSG00000042980	0	0	1	0	0	0	0	0	1	0	1	0
ENSG00000043039	0	0	3	1	0	0	0	0	0	0	0	0
ENSG00000043093	1066	959	1154	940	970	897	1383	1745	1326	1408	1218	1261
ENSG00000043143	358	363	436	473	460	320	525	404	501	610	825	723
ENSG00000043355	138	167	148	157	168	164	0	0	0	0	1	0
ENSG00000043462	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000043514	647	753	768	660	702	626	310	357	323	371	304	342
ENSG00000043591	3	3	5	23	12	26	55	75	65	68	76	58
ENSG00000044012	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000044090	264	286	446	672	915	616	252	121	363	476	486	372
ENSG00000044115	3629	4590	5301	6791	6192	6220	8021	7743	10445	11005	11662	8776
ENSG00000044446	299	265	322	314	333	341	170	179	227	231	239	206
ENSG00000044459	164	170	191	184	212	155	306	342	351	380	354	275
ENSG00000044524	0	0	0	0	0	0	913	1734	121	101	91	987
ENSG00000044574	4059	3050	4202	2227	2571	2972	4114	4361	3790	3823	2925	3635
ENSG00000046604	3514	3252	4677	5362	6488	5611	2762	3183	2727	2992	2684	2617
ENSG00000046647	74	68	90	92	112	113	66	78	84	96	67	73
ENSG00000046651	372	367	378	455	672	533	315	366	375	354	454	324
ENSG00000046653	0	0	0	0	0	0	1011	1156	1416	829	971	861
ENSG00000046774	0	0	0	0	0	0	1	0	2	4	6	5
ENSG00000046889	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000047056	155	202	227	302	296	170	184	177	132	156	216	206
ENSG00000047188	944	771	919	531	491	739	481	596	536	562	521	477
ENSG00000047230	339	329	465	484	491	448	237	306	455	445	474	222
ENSG00000047249	531	587	623	629	580	564	1377	1628	1825	2122	1863	1470
ENSG00000047315	5202	5089	5338	3841	4076	3998	3061	3741	2335	2593	2512	3007
ENSG00000047346	41	21	45	78	107	68	36	34	113	134	80	34
ENSG00000047365	505	491	497	711	895	784	165	198	161	133	205	150
ENSG00000047410	6154	5996	6912	6123	6045	6604	6871	8083	4310	4368	4292	6962
ENSG00000047457	0	0	0	0	1	0	6	2	6	9	6	4
ENSG00000047578	200	257	274	318	310	247	185	125	179	270	290	237
ENSG00000047579	66	77	92	53	73	54	50	54	54	68	81	59
ENSG00000047597	159	156	170	187	184	81	274	324	158	165	169	237
ENSG00000047617	4	8	6	0	4	2	0	0	0	0	0	0
ENSG00000047621	524	664	648	505	444	389	1131	1445	882	899	981	1160
ENSG00000047634	193	189	227	167	124	71	78	83	234	241	248	58
ENSG00000047644	123	105	104	315	426	225	532	479	441	498	636	641
ENSG00000047648	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000047662	1	1	3	0	3	3	5	1	0	4	1	2
ENSG00000047849	2759	2533	3079	3083	2956	2613	3981	4141	3469	3360	3362	4161
ENSG00000047932	1196	1086	1174	832	907	1057	869	1060	717	874	680	784
ENSG00000047936	0	0	0	0	1	0	11	13	8	15	10	15
ENSG00000048028	651	616	767	705	634	659	449	593	574	635	629	469
ENSG00000048052	67	70	80	415	673	450	1451	1785	1546	1630	1767	1527
ENSG00000048140	262	395	545	638	538	349	274	169	301	438	604	455
ENSG00000048162	620	742	832	520	534	446	567	398	214	316	487	883
ENSG00000048342	552	595	491	434	535	441	292	323	317	364	347	320
ENSG00000048392	1750	1547	1788	3499	2753	2841	1020	1408	2121	2398	1684	1125
ENSG00000048405	954	1057	875	806	872	798	620	738	502	536	549	553
ENSG00000048462	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000048471	121	154	137	190	183	102	301	275	407	458	429	332
ENSG00000048540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048544	1255	1432	1503	1409	1302	1316	1264	1547	1298	1747	1548	1379
ENSG00000048545	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048649	630	531	702	570	734	683	393	413	494	505	505	367
ENSG00000048707	1315	897	1129	1519	1933	1634	1534	1655	2171	2239	2314	1544
ENSG00000048740	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000048828	2928	2826	3378	3127	2446	3194	2192	2220	1305	1574	1989	2648
ENSG00000048991	771	534	771	401	364	442	434	447	272	291	251	356
ENSG00000049089	3	6	2	9	6	6	17	6	12	17	30	32
ENSG00000049130	20003	20131	21044	8844	8510	12365	277	434	172	148	216	289
ENSG00000049167	355	375	365	268	254	227	170	229	166	174	158	149
ENSG00000049192	12	11	9	18	10	12	259	244	106	124	101	260
ENSG00000049239	52	55	169	260	272	310	309	258	428	536	565	350
ENSG00000049245	1479	1419	1822	1467	1462	1523	2516	2697	2413	2723	2449	2418
ENSG00000049246	55	44	81	78	101	95	155	156	235	265	276	117
ENSG00000049247	6	12	14	29	23	14	0	0	0	0	1	0
ENSG00000049249	1	2	1	11	14	9	449	401	665	779	577	398
ENSG00000049283	10	12	19	70	66	45	1	0	0	0	1	0
ENSG00000049319	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000049323	60	71	103	127	171	63	6169	6398	6194	4402	3282	5881
ENSG00000049449	1267	1379	1415	1379	1682	1345	5484	6451	4318	5162	3868	5220
ENSG00000049540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049541	1211	1259	1452	1189	804	914	1337	1072	916	1254	1200	1318
ENSG00000049618	412	387	484	359	403	295	281	236	205	205	283	335
ENSG00000049656	1144	1591	1473	1488	1169	846	2790	2029	1343	2277	2887	4713
ENSG00000049759	830	916	993	1298	1430	1080	2368	2431	2066	2540	2543	2405
ENSG00000049768	3	1	1	1	1	0	1	1	0	0	3	0
ENSG00000049769	1	1	4	2	1	3	17	14	17	32	43	46
ENSG00000049860	1216	1220	1686	2315	2161	2578	4406	5633	3971	4215	4078	4192
ENSG00000049883	328	271	376	229	222	284	119	139	137	159	145	126
ENSG00000050030	0	0	0	0	2	0	0	0	0	1	0	0
ENSG00000050130	1289	1358	1342	1165	1198	1146	1310	1518	979	1110	1187	1224
ENSG00000050165	3	3	8	5	5	7	2117	2334	2983	2530	3015	2095
ENSG00000050327	263	282	322	412	468	433	17	12	137	96	79	27
ENSG00000050344	1268	1176	1321	1463	1810	1705	7332	8380	7847	8858	7394	6744
ENSG00000050393	934	872	1023	859	682	898	521	638	435	504	513	482
ENSG00000050405	2101	2119	3100	5335	6491	5264	5622	6161	6121	5665	5705	5355
ENSG00000050426	741	711	662	812	756	771	524	596	646	693	616	526
ENSG00000050438	19	9	29	23	26	18	157	140	140	148	113	148
ENSG00000050555	9	13	22	48	41	25	18	8	8	8	17	44
ENSG00000050628	0	1	0	1	3	0	0	1	0	0	0	0
ENSG00000050730	0	0	0	0	0	0	54	52	52	99	74	58
ENSG00000050748	928	918	1034	1164	1176	1019	805	895	1058	1087	1009	765
ENSG00000050767	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000050820	67	92	121	171	155	61	138	46	50	121	251	456
ENSG00000051009	153	231	246	317	273	232	102	65	91	150	185	156
ENSG00000051108	560	516	734	609	798	875	663	711	815	862	689	553
ENSG00000051128	41	50	39	85	88	53	38	13	17	48	54	54
ENSG00000051180	289	198	331	276	224	231	457	435	286	310	295	462
ENSG00000051341	1183	1023	1104	938	714	873	1013	1131	473	503	615	971
ENSG00000051382	877	569	886	539	712	634	484	481	519	432	458	342
ENSG00000051523	53	83	95	208	171	94	0	0	0	0	0	1
ENSG00000051596	423	468	519	360	383	349	255	242	149	268	180	299
ENSG00000051620	396	438	449	489	596	480	335	473	512	483	462	381
ENSG00000051825	1464	1412	1299	1520	1037	1377	1614	1901	1217	1364	1160	1563
ENSG00000052126	434	394	479	592	728	645	1261	1325	624	787	650	1201
ENSG00000052344	25	55	80	221	199	178	0	0	0	1	0	1
ENSG00000052723	1493	1725	1418	1474	1387	1201	1412	1630	1087	1293	1025	1462
ENSG00000052749	729	1113	976	1232	1423	727	461	247	261	426	655	913
ENSG00000052795	219	200	230	190	164	108	405	440	346	339	362	392
ENSG00000052802	529	584	935	671	596	781	393	652	352	371	388	475
ENSG00000052841	980	982	1025	1388	1953	1539	1258	1344	1143	1095	1294	1096
ENSG00000052850	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000053108	2	3	0	2	2	4	0	0	0	0	1	0
ENSG00000053254	264	217	255	239	330	228	24	7	1	5	1	9
ENSG00000053328	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000053371	200	251	310	409	317	309	218	194	215	276	345	414
ENSG00000053372	2162	2649	2562	1391	1436	1151	2062	1700	981	1354	1453	2345
ENSG00000053438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000053501	63	78	98	68	115	81	52	34	52	59	85	103
ENSG00000053524	24	21	28	141	219	108	47	44	121	146	131	43
ENSG00000053702	0	0	0	0	0	0	0	0	3	7	2	0
ENSG00000053747	92	78	91	646	849	588	116	109	322	284	327	111
ENSG00000053770	652	686	660	556	552	456	361	458	372	349	361	335
ENSG00000053900	831	724	907	612	586	643	361	493	428	491	519	369
ENSG00000053918	4	5	8	28	33	18	0	0	0	0	0	0
ENSG00000054116	656	704	699	633	579	643	697	805	699	741	718	646
ENSG00000054118	3851	3901	4288	3095	2898	3184	2966	3145	2050	2195	2340	2949
ENSG00000054148	98	151	173	304	194	177	53	22	48	106	209	202
ENSG00000054179	16	21	20	38	19	23	0	0	0	0	0	0
ENSG00000054219	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000054267	828	765	903	848	927	941	613	839	665	656	591	667
ENSG00000054277	34	36	30	76	75	88	15	13	9	20	24	24
ENSG00000054282	270	324	344	342	312	372	1079	1090	338	391	368	1042
ENSG00000054356	0	0	0	0	0	0	12	10	14	45	26	47
ENSG00000054392	18	23	34	73	81	56	280	244	169	226	298	345
ENSG00000054523	1280	959	1226	1094	1175	1270	960	1180	984	992	831	981
ENSG00000054598	433	375	338	332	471	403	229	243	171	177	197	187
ENSG00000054611	107	142	118	121	146	106	119	84	109	158	202	183
ENSG00000054654	1494	1009	1154	2324	1831	2196	922	1083	1265	1066	1121	1011
ENSG00000054690	195	207	222	583	568	409	213	237	316	279	377	297
ENSG00000054793	257	233	327	848	1016	696	452	463	702	695	752	462
ENSG00000054796	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054803	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054938	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000054965	546	523	621	779	730	653	1052	1220	1392	1300	1189	1163
ENSG00000054967	105	172	126	258	183	127	115	37	69	120	214	181
ENSG00000054983	0	0	0	0	0	0	102	151	267	271	230	87
ENSG00000055044	2984	3048	3074	2398	2324	2083	2589	2886	1537	1763	1769	2507
ENSG00000055070	1384	1980	2021	2672	2137	1703	1291	1025	870	1336	1575	1916
ENSG00000055118	18	53	47	97	108	58	0	0	0	0	0	0
ENSG00000055130	1947	1758	2119	1292	1398	1253	1845	2160	1718	1669	1960	1869
ENSG00000055147	438	461	536	403	453	445	451	499	394	418	368	404
ENSG00000055163	639	612	832	1210	950	1114	359	388	887	929	886	412
ENSG00000055208	1132	1134	1230	1251	1397	1140	685	955	877	853	722	619
ENSG00000055211	453	468	505	759	628	715	503	632	793	880	781	515
ENSG00000055332	2119	1485	1793	1990	2056	2225	1172	1317	1312	1311	1351	1137
ENSG00000055483	775	863	964	765	863	667	576	384	345	457	668	824
ENSG00000055609	1198	835	891	853	1148	920	1167	1301	1457	1206	1279	1129
ENSG00000055732	225	191	195	258	350	209	61	86	173	163	187	84
ENSG00000055813	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000055917	2266	1656	2313	1495	2250	1589	1131	1291	822	880	867	977
ENSG00000055950	394	468	503	545	525	449	174	169	202	181	250	260
ENSG00000055955	1	6	0	3	2	0	1	1	1	1	2	2
ENSG00000055957	0	0	0	0	1	0	0	0	0	0	0	0
